symbol,name,exchange,market_category,test_issue,financial_status,round_lot_size,etf,nextshares,source_file
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ADACU,American Drive Acquisition Company - Units,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ADACW,American Drive Acquisition Company - Warrant,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADBE,Adobe Inc. - Common Stock,NASDAQ,Q,N,N,40,N,N,nasdaqlisted.txt
ADBG,Leverage Shares 2X Long ADBE Daily ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
ADEA,Adeia Inc.  - Common Stock,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,S,N,D,100,N,N,nasdaqlisted.txt
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,Q,N,N,40,N,N,nasdaqlisted.txt
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,Q,N,N,40,N,N,nasdaqlisted.txt
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,S,N,D,100,N,N,nasdaqlisted.txt
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,Q,N,D,100,N,N,nasdaqlisted.txt
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,S,N,D,100,N,N,nasdaqlisted.txt
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AEAQU,Activate Energy Acquisition Corp. - Unit,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AEAQW,Activate Energy Acquisition Corp. - Warrant,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AEC,Anfield Energy Inc. - Common Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
